it came to pass in the~52~1 Nephi 1:4
And it came to pass that~988~1 Nephi 1:7
it came to pass that he~89~1 Nephi 1:7
upon the face of the earth~26~1 Nephi 1:11
it came to pass that when~149~1 Nephi 1:14
it came to pass that the~389~1 Nephi 1:19
came to pass that the Lord~42~1 Nephi 2:1
out of the land of Jerusalem~25~1 Nephi 2:11
it came to pass that I~99~1 Nephi 2:16
it came to pass that after~60~1 Nephi 3:21
it came to pass that we~45~1 Nephi 3:22
came to pass that we did~29~1 Nephi 3:26
came to pass that when the~54~1 Nephi 4:30
it came to pass that they~137~1 Nephi 5:9
came to pass that they did~51~1 Nephi 5:9
by the hand of the Lord~21~1 Nephi 5:14
And it came to pass in~34~1 Nephi 7:7
it came to pass that there~36~1 Nephi 8:23
upon all the face of the~25~1 Nephi 10:12
the power of the Holy Ghost~21~1 Nephi 10:17
from the foundation of the world~22~1 Nephi 10:18
on the face of the land~33~1 Nephi 12:4
upon the face of the land~32~1 Nephi 12:20
And it shall come to pass~43~1 Nephi 14:1
it shall come to pass that~35~1 Nephi 22:20
are of the house of Israel~22~1 Nephi 12:9
And now it came to pass~94~1 Nephi 16:1
now it came to pass that~89~1 Nephi 16:1
Now it came to pass that~38~1 Nephi 16:21
if it so be that the~21~1 Nephi 2:24
came to pass that the people~24~Jacob 1:15
it came to pass that a~87~1 Nephi 1:12
came to pass that when they~25~Mosiah 2:5
came to pass that the Lamanites~24~Mosiah 11:16
it came to pass that Alma~25~Mosiah 18:1
it came to pass that in~35~Alma 1:1
came to pass that in the~25~Alma 1:1
year of the reign of the~94~Alma 1:1
of the reign of the judges~96~Alma 1:1
the reign of the judges over~46~Alma 1:1
reign of the judges over the~46~Alma 1:1
of the judges over the people~46~Alma 1:1
the judges over the people of~46~Alma 1:1
judges over the people of Nephi~45~Alma 1:1
on all the face of the~26~1 Nephi 10:12
all the face of the land~23~Alma 16:16
it came to pass that Moroni~22~Alma 43:27
came to pass that when Jesus~22~3 Nephi 11:12
to pass that when Jesus had~22~3 Nephi 11:12
it came to pass that Moron~24~Alma 43:27
